CLAVE,GER,A0,A1,A2,A3,A4,A5,A6,B0,B1,C0,C1,C2,D0,KM,IF,E0,E1,E2,E3,E4,KV,FXG,,
SC,NO,0,0,0,0,0,1,2,7,0,0,0,0,0,1312.7,0.38,0,0,0,0,0,400,10,,
SC,N,0,0,0,0,0,0,1,0,0,1,0,3,0,744,0.335,0,0,0,0,0,400,5,,
SC,NE,0,2,0,0,0,0,4,17,0,1,0,10,0,4196.32,0.405,0,0,3,0,0,400,37,,
SC,OCC,0,1,0,1,1,5,5,43,0,5,13,27,1,5636,0.905,0,0,9,1,0,400,112,,
SC,C,0,0,0,0,0,0,0,27,0,2,1,5,0,3459,0.505,0,0,5,0,0,400,40,,
SC,OR,0,2,4,0,0,2,2,43,0,2,8,6,3,4944,0.73,0,0,14,0,0,400,86,,
SC,SE,0,0,0,0,2,12,5,39,0,0,0,3,4,2521.71,1.29,0,0,15,0,0,400,80,,
SC,PEN,0,0,0,0,0,4,0,7,0,0,0,4,0,822,0.91,0,0,0,0,0,400,15,,
SC,BC,0,0,0,1,1,0,4,1,0,2,0,8,0,1526.12,0.555,0,0,0,0,0,230,17,,
SC,NO,0,0,0,0,1,2,19,15,0,3,1,3,3,5513.87,0.41,0,0,4,0,0,230,51,,
SC,N,0,0,1,0,0,2,9,10,0,0,0,3,0,4979,0.25,0,0,3,0,0,230,28,,
SC,NE,0,0,0,2,1,2,14,9,0,0,0,0,0,1729.52,0.81,0,0,5,1,0,230,34,,
SC,OCC,0,0,2,1,1,3,13,29,0,1,0,6,1,4102.6,0.695,0,0,6,1,0,230,64,,
SC,C,0,0,0,0,0,7,2,32,0,0,2,6,0,3431,0.715,0,0,7,0,0,230,56,,
SC,OR,0,0,0,1,1,1,10,25,0,0,7,4,1,1592.76,1.57,0,0,9,0,0,230,59,,
SC,SE,1,0,0,0,0,7,2,25,0,1,0,5,0,1682.6,1.22,0,0,11,0,0,230,52,,
SC,PEN,0,3,1,0,0,7,0,39,0,2,1,12,5,2441,0.935,0,0,8,0,0,230,78,,
SC,BC,0,0,1,3,0,0,0,0,0,3,0,0,0,404.83,0.865,0,0,0,0,0,161,7,,
SC,OCC,0,0,0,0,0,0,1,7,0,0,0,0,0,145,2.76,0,0,0,0,0,161,8,,
SC,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,156.26,0,0,0,0,0,0,138,0,,
SC,BC,0,3,0,2,2,0,9,11,0,1,0,0,0,1502.65,0.885,0,0,0,0,0,115,28,,
SC,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,316.42,0,0,0,0,0,0,115,0,,
SC,N,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,115,0,,
SC,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,30.27,0.33,0,0,0,0,0,115,0,,
SC,OCC,0,0,0,0,0,0,0,0,0,1,0,0,0,152,0,0,0,1,0,0,115,2,,
SC,C,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,115,0,,
SC,OR,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,115,0,,
SC,SE,0,0,0,0,0,0,0,3,0,0,0,0,0,512.06,0.445,0,0,1,0,0,115,4,,
SC,PEN,0,2,3,1,0,7,9,112,0,6,1,1,6,2659,2.785,0,0,12,5,0,115,165,,
SC,OCC,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,69,0,,
A3Q10,SE,0,0,0,0,0,1,0,3,0,0,0,0,0,154.73,2.59,0,0,0,0,0,400,4,,
A3Q10,PEN,0,0,0,0,0,2,0,1,0,0,0,0,0,143,2.1,0,0,0,0,0,400,3,,
A3250,NE,0,0,0,0,0,0,0,0,0,1,0,3,0,143,2.8,0,0,0,0,0,400,4,,
A3250,OR,0,0,0,0,0,0,0,2,0,0,0,0,0,23,8.7,0,0,0,0,0,400,2,,
A3460,C,0,0,0,0,0,0,0,0,0,0,0,1,0,59,1.69,0,0,0,0,0,400,1,,
A3460,OR,0,0,0,0,0,0,0,3,0,0,1,1,0,166,3.01,0,0,0,0,0,400,5,,
A3360,OR,0,0,0,0,0,0,0,0,0,2,0,2,0,225,1.78,0,0,0,0,0,400,4,,
A3370,C,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,400,0,,
A3370,OR,0,0,0,0,0,0,0,4,0,0,0,0,0,86,4.65,0,0,0,0,0,400,4,,
A3J00,NO,0,0,0,0,0,0,0,2,0,0,0,0,0,121.3,1.65,0,0,0,0,0,400,2,,
A3J00,OCC,0,0,0,0,0,0,0,2,0,0,0,0,0,133,1.5,0,0,0,0,0,400,2,,
A3J80,OCC,0,0,0,0,0,0,0,2,0,0,0,2,0,213,1.88,0,0,0,0,0,400,4,,
A3L60,C,0,0,0,0,0,0,0,4,0,0,0,0,0,167,2.4,0,0,0,0,0,400,4,,
A3L60,OR,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,400,0,,
A3Q00,SE,0,0,0,0,0,0,0,0,0,0,0,0,0,154.73,0,0,0,0,0,0,400,0,,
A3Q00,PEN,0,0,0,0,0,2,0,2,0,0,0,0,0,143,2.8,0,0,0,0,0,400,4,,
A3U10,OR,0,0,2,0,0,0,1,0,0,1,0,0,0,150,2.67,0,0,0,0,0,400,4,,
A3040,SE,0,0,0,0,1,0,0,0,0,0,0,0,2,243,1.23,0,0,0,0,0,400,3,,
A3120,NE,0,0,0,0,0,0,0,1,0,0,0,2,0,143,2.1,0,0,0,0,0,400,3,,
A3120,OR,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,400,0,,
A3140,SE,0,0,0,0,0,0,0,3,0,0,0,0,0,243,1.23,0,0,0,0,0,400,3,,
A3160,SE,0,0,0,0,0,1,0,2,0,0,0,0,0,145,2.07,0,0,0,0,0,400,3,,
A3210,OCC,0,0,0,0,0,1,0,1,0,0,0,0,0,150,1.33,0,0,0,0,0,400,2,,
A3210,C,0,0,0,0,0,0,0,1,0,0,0,0,0,83,1.2,0,0,0,0,0,400,1,,
A3220,OCC,0,0,0,0,0,0,0,1,0,1,0,0,0,150,1.33,0,0,0,0,0,400,2,,
A3220,C,0,0,0,0,0,0,0,1,0,0,0,0,0,83,1.2,0,0,0,0,0,400,1,,
A3250,SE,0,0,0,0,1,1,0,1,0,0,0,0,0,139,2.16,0,0,0,0,0,400,3,,
A3920,C,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,400,0,,
A3920,OR,0,0,0,0,0,0,0,1,0,0,0,1,1,66,4.55,0,0,0,0,0,400,3,,
A3J20,OCC,0,0,0,0,0,0,0,2,0,0,1,0,0,180,1.67,0,0,0,0,0,400,3,,
A3K50,OCC,0,0,0,0,0,0,0,0,0,0,3,0,0,147,2.04,0,0,0,0,0,400,3,,
A3L20,OCC,0,0,0,0,0,0,0,2,0,0,1,0,0,60,5,0,0,0,0,0,400,3,,
A3T10,OR,0,0,0,0,0,0,0,3,0,0,0,0,0,38,7.89,0,0,0,0,0,400,3,,
A3T30,SE,0,0,0,0,0,0,0,0,0,0,0,1,2,193,1.55,0,0,0,0,0,400,3,,
A3T90,SE,0,0,0,0,0,2,0,1,0,0,0,0,0,242,1.24,0,0,0,0,0,400,3,,
A3U90,SE,0,0,0,0,0,0,2,1,0,0,0,0,0,107.08,2.8,0,0,0,0,0,400,3,,
A3010,OCC,0,0,0,0,0,0,0,0,0,0,0,1,0,192,0.52,0,0,0,0,0,400,1,,
A3010,C,0,0,0,0,0,0,0,1,0,0,0,0,0,83,1.2,0,0,0,0,0,400,1,,
A3110,OCC,0,0,0,0,0,1,0,1,0,0,0,0,0,235,0.85,0,0,0,0,0,400,2,,
A3140,NE,0,0,0,0,0,0,0,1,0,0,0,1,0,135,1.48,0,0,0,0,0,400,2,,
A3200,OCC,0,0,0,0,0,0,0,2,0,0,0,0,0,237,0.84,0,0,0,0,0,400,2,,
A3230,OCC,0,0,0,0,1,0,0,1,0,0,0,0,0,178,1.12,0,0,0,0,0,400,2,,
A3240,OCC,0,0,0,0,0,1,0,1,0,0,0,0,0,207,0.97,0,0,0,0,0,400,2,,
A3250,OCC,0,0,0,0,0,0,0,2,0,0,0,0,0,186,1.08,0,0,0,0,0,400,2,,
A3260,OR,0,0,0,0,0,0,0,1,0,0,1,0,0,191,1.05,0,0,0,0,0,400,2,,
A3290,C,0,0,0,0,0,0,0,2,0,0,0,0,0,122,1.64,0,0,0,0,0,400,2,,
A3390,OR,0,0,0,0,0,0,0,2,0,0,0,0,0,135,1.48,0,0,0,0,0,400,2,,
A3550,OCC,0,0,0,0,0,0,0,2,0,0,0,0,0,34,5.88,0,0,0,0,0,400,2,,
A3560,OR,0,0,0,0,0,0,0,1,0,0,1,0,0,102,1.96,0,0,0,0,0,400,2,,
A3650,OCC,0,0,0,0,0,0,1,0,0,0,1,0,0,60,3.33,0,0,0,0,0,400,2,,
A3680,C,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,400,0,,
A3680,OR,0,0,0,0,0,0,2,0,0,0,0,0,0,150,1.33,0,0,0,0,0,400,2,,
A3740,NE,0,0,0,0,0,0,2,0,0,0,0,0,0,100,2,0,0,0,0,0,400,2,,
A3780,C,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,400,0,,
A3780,OR,0,0,0,0,0,1,1,0,0,0,0,0,0,150,1.33,0,0,0,0,0,400,2,,
A3D80,NE,0,0,0,0,0,0,1,0,0,0,0,0,0,193.8,1.03,0,0,0,0,0,400,1,,
A3U80,SE,0,0,0,0,0,0,2,0,0,0,0,0,0,107.09,1.87,0,0,0,0,0,400,2,,
A3030,SE,0,0,0,0,0,0,1,0,0,0,0,0,0,88,1.14,0,0,0,0,0,400,1,,
A3070,C,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,400,0,,
A3070,OR,0,0,0,0,0,0,1,0,0,0,0,0,0,142,0.7,0,0,0,0,0,400,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
